,Porto,Local,Latitude,Longitude,Veículo não Tripulado,lat,lon,usv_uav_autonomy_km
9,Porto de Leixões,N,41°10'42''N,008°42'18''W,Superfície,41.17833333333333,-8.705,300
"10,Figueira da Foz,N,""40°08'50""""N"",""008°51'35""""W"",Superfície,40.14722222222222,-8.859722222222222,300"
11,Cascais,C,38°41'37''N,009°24'53''W,Superfície,38.69361111111111,-9.414722222222222,300
12,Oeiras,C,38°40'35''N,009°19'02''W,Superfície,38.67638888888889,-9.317222222222222,300
13,Sesimbra,C,38°26'26''N,009°06'37''W,Superfície,38.440555555555555,-9.110277777777778,300
14,Alfeite - CEOV,C,38°40'23''N,009°08'46''W,Superfície,38.67305555555555,-9.14611111111111,300
15,Sines,S,37°56'43''N,008°53'17''W,Superfície,37.945277777777775,-8.888055555555555,300
16,Portimão,S,37°07'04''N,008°31'35''W,Superfície,37.117777777777775,-8.52638888888889,300
17,Albufeira,S,37°04'57''N,008°15'37''W,Superfície,37.0825,-8.260277777777778,300
18,Vilamoura,S,37°04'24''N,008°07'19''W,Superfície,37.07333333333334,-8.121944444444445,300
